title,author,content,category
"'Natchathiram...' my favourite Ranjith film, saw uncensored version: Anurag",Amartya Sharma,"Anurag Kashyap took to Instagram and praised filmmaker Pa Ranjith's film 'Natchathiram Nagargiradhu'. ""Saw 'Natchathiram Nagargiradhu' last night. The uncensored version...This is Ranjith's most personal work and my favourite Ranjith film. He is his most vulnerable...naked in this film,"" he said. ""It's a film about love and how it needs to survive above all prejudice...hatred,"" he added. ",entertainment
"I've been really depressed, it takes weeks to come out of it: Karan Tacker",Udit Gupta,"'Special OPS' actor Karan Tacker opened up about mental health and said, ""No matter how much I say I'm confident...or I'm having the best time of my life, there are times when I've been really depressed."" He added that it takes weeks to come out of it. Karan further said he had the support of his family and friends. ",entertainment
Megan Thee Stallion to make a cameo appearance in ‘She-Hulk’: Reports,Kameshwari,"Rapper Megan Thee Stallion will reportedly feature in an upcoming episode of 'She-Hulk: Attorney at Law', which stars Tatiana Maslany in the lead role. While the details haven't been revealed, reports suggest she will appear as herself in the Marvel Studios show. 'She-Hulk: Attorney at Law', which premiered on August 18, is the eighth series in the Marvel Cinematic Universe. ",entertainment
"When Barjatya announced 'Vivah', everyone thought he had lost it: RGV",Udit Gupta,"Filmmaker Ram Gopal Varma in an interview said, ""[When] he (Sooraj Barjatya) announced a film called Vivah, everyone thought he had lost it."" ""'People will come to a theatre to see a film called Vivah?' is what everyone wondered in the industry,"" he added. Varma further said the Shahid Kapoor and Amrita Rao-starrer film became a blockbuster.",entertainment
"Amrita, Anmol revisit temple where they had prayed for a child, share video",Udit Gupta,"Actress Amrita Rao and her husband RJ Anmol visited a Lord Ganesha temple in Maharashtra where they had prayed for a child in 2018. Sharing a video on their YouTube channel, Anmol said, ""We've told you [previously] how we struggled to conceive...Now our wish has been fulfilled."" The couple welcomed their son Veer in 2020.  ",entertainment
Incredible: Lara on Miss Universe allowing mothers to participate ,Kameshwari,"Lara Dutta said Miss Universe's decision to allow married women and mothers to participate in the pageant is an ""incredible step in the right direction"". Lara said the decision will allow women, who needed to be celebrated and empowered, to come forward. The rule, announced earlier this month, will be implemented next year with the 72nd Miss Universe pageant.",entertainment
Ajith to shoot 21-day action schedule for 'AK61' in Bangkok: Reports,Kameshwari,"Actor Ajith Kumar will reportedly shoot for a 21-day action-packed schedule in Bangkok for his upcoming heist thriller, which is tentatively titled 'AK61'. As per reports, the team will fly to Bangkok in September. The H Vinoth directorial, whose major portions were shot in Chennai and Hyderabad, is expected to wrap by early October this year. ",entertainment
Forgiveness is important: Meghan on relationship with royal family ,Kameshwari,"Meghan Markle said she is ""still healing"" from what she and Prince Harry went through with the royal family and is hopeful about moving on someday. She said ""forgiveness is really important"" as it takes ""a lot more energy to not forgive"". She said she has made an ""active effort"" to forgive, adding that she has a lot to say.",entertainment
"Animator Ralph Eggleston, known for 'Finding Nemo' & 'Toy Story', dies at 56",Udit Gupta,"Academy Award-winning animator Ralph Eggleston, who worked on films like 'Finding Nemo', 'Toy Story' and 'The Incredibles', has passed away at the age of 56. According to Pixar Post, he died on Sunday after a long battle with pancreatic cancer. Ralph won an Oscar for his short film 'For the Birds', released in 2000. ",entertainment
Shahid to start shooting for Rosshan Andrrews' thriller in Nov: Report,Udit Gupta,"Actor Shahid Kapoor will reportedly start shooting for filmmaker Rosshan Andrrews' thriller film in November. The entire film will be shot in Mumbai, the report said. The upcoming project, which will be backed by Siddharth Roy Kapur, will mark Rosshan's debut in the Hindi film industry. Shahid will also be seen in 'Bull' and 'Sunny'. ",entertainment
An irreparable loss: Nawaz on demise of his acting teacher Hemendra Bhatia,Udit Gupta,"Actor Nawazuddin Siddiqui on Tuesday mourned the demise of director, actor, playwright and acting coach Hemendra Bhatia, who passed away on Tuesday in Mumbai. He took to Twitter to share a picture of Hemendra and credited him for teaching him the ""techniques of acting"". ""It's an irreparable loss to the theatre world. May his soul rest in peace,"" Nawazuddin added.  ",entertainment
Rupali Ganguly hasn't texted or called after I left 'Anupamaa': Paras,Kameshwari,"Paras Kalnawat said his 'Anupamaa' co-star Rupali Ganguly hasn't called or messaged him after he exited the show to participate in 'Jhalak Dikhhla Jaa 10'. He added that many of his co-stars reached out to him personally and wished him to come back with the winner's trophy. Paras said he hopes he ""can emerge as a dancer"" after the show. ",entertainment
Emilia was excited for me: 'House of the Dragon' actor Fabien Frankel,Kameshwari,"Actor Fabien Frankel said actress Emilia Clarke, who played Daenerys Targaryen in 'Game of Thrones', was excited for him when he told her about 'House of the Dragon'. Fabien plays Ser Criston Cole in the prequel of 'Game of Thrones'. Fabien added a few other cast members of the show were also ""incredibly kind"" and excited for the prequel.",entertainment
There is no perfect mother: Lillete Dubey,Kameshwari,"Actress Lillete Dubey, who embraced motherhood at 24, said society expects a mother to always be ""angel-like"", understanding and tolerant. She said that like there is no perfect child or human being, there is ""no perfect mother"". She added it is human to be annoyed, but because of the societal pressure mothers undergo guilt about not being perfect. ",entertainment
The response it has garnered is heartwarming: Hrithik on 'Vikram...' teaser,Udit Gupta,"Hrithik Roshan, while speaking about the teaser of 'Vikram Vedha' which has reportedly crossed over 30 million views across platforms, said that the response that it has garnered is heartwarming. ""I've been told...Vikram Vedha's teaser stands to be the most liked Hindi film teaser, and the number of viewers it has reached...across platforms is hugely rewarding for me,"" he added. ",entertainment
Michelle Yeoh to be honoured at Toronto International Film Festival ,Kameshwari,Celebrated Malaysian actress Michelle Yeoh will be honoured with the inaugural 'TIFF Share Her Journey Groundbreaker Award' at the 47th Toronto International Film Festival (TIFF). The award recognises a woman who is a leader in the film industry and has made a positive impact for women throughout their career. It will be presented at a gala fundraiser on September 11. ,entertainment
Arjun Rampal to make a cameo in Sonakshi's 'Nikita Roy...' ,Udit Gupta,"Actor Arjun Rampal will make a special appearance in Sonakshi Sinha's upcoming movie titled, 'Nikita Roy and the Book of Darkness'. Talking about joining the cast, the actor said, ""It was a real pleasure to do a cameo in this film."" The thriller, which went on floors in London, is being directed by Sonakshi's brother Kussh Sinha.  ",entertainment
Happy to see him on road to recovery: Radikaa on Bharathiraja,Kameshwari,"Radikaa Sarathkumar on Tuesday said she is happy to see director Bharathiraja on the road to recovery. The actress, who was introduced to Tamil cinema by Bharathiraja, said she ""can't bear to see him unwell"" and called him a person she looks up to. Bharathiraja was admitted at MGM Healthcare, Chennai on August 26 due to lung infection. ",entertainment
"Want a second child in future, my son has to have a sibling: Bharti",Udit Gupta,"Comedian Bharti Singh, who was blessed with a baby boy in April, said, ""Haarsh (Limbachiyaa) and I want a second child in the future."" She added that she'll have to wait for a couple of years as she welcomed her son via cesarean delivery. ""I want a sister for my son...I know [he] has to have a sibling,"" said Bharti. ",entertainment
'Criminal Justice' explores justice system through new lens: Shweta ,Kameshwari,"Shweta Basu Prasad called 'Criminal Justice' a ""critical show"" as it explores ""a different side of the justice system"" through a new lens. The actor said that when she got the opportunity to be a part of 'Criminal Justice 3', she ""went for it without a second thought"". She said it adds to her agenda of exploring challenging roles.",entertainment
